id	subject	class_type	group	location	date	teacher	is_certain	team_size	max_people	min_people
645361	Algorytmy dla problemow trudnych obliczeniowo	W15		D17 2.41	Pn 11:15-12:45	Faliszewski Piotr	x		0	0
645362	Algorytmy dla problemow trudnych obliczeniowo	L15	1	D17 3.27d	Pn 9:35-11:05 A	Faliszewski Piotr			10	0
645363	Algorytmy dla problemow trudnych obliczeniowo	L15	2	D17 3.27d	Pn 9:35-11:05 B	Magiera Krzysztof			13	0
645364	Algorytmy dla problemow trudnych obliczeniowo	L15	3	D17 3.27d	Pn 12:50-14:20 A	Gajecki Marek			12	0
645365	Algorytmy dla problemow trudnych obliczeniowo	L15	4	D17 3.27d	Pn 12:50-14:20 B	Gajecki Marek			12	0
645366	Algorytmy dla problemow trudnych obliczeniowo	L15	5	D17 3.27d	Wt 9:35-11:05 A	Gajecki Marek			13	0
645367	Algorytmy dla problemow trudnych obliczeniowo	L15	6	D17 3.27d	Wt 9:35-11:05 B	Kurdziel Marcin			13	0
645368	Algorytmy dla problemow trudnych obliczeniowo	L15	7	D17 3.27d	Wt 11:15-12:45 A	Kurdziel Marcin			13	0
645369	Algorytmy dla problemow trudnych obliczeniowo	L15	8	D17 3.27d	Wt 11:15-12:45 B	Magiera Krzysztof			13	0
645370	Badania operacyjne	W15		D17 1.38	Wt 8:00-9:30	Kwiecien Joanna	x		0	0
645371	Badania operacyjne	L15	1	B5 212	Wt 9:35-11:05 A	Chmiel Wojciech		2	12	0
645372	Badania operacyjne	L15	2	B5 212	Wt 9:35-11:05 B	Chmiel Wojciech		2	12	0
645373	Badania operacyjne	L15	3	B5 212	Wt 11:15-12:45 A	Kwiecien Joanna		2	8	0
645374	Badania operacyjne	L15	4	B5 212	Wt 11:15-12:45 B	Kwiecien Joanna		2	10	0
645375	Badania operacyjne	L15	5	B5 212	Wt 12:50-14:20 A	Kwiecien Joanna		2	12	0
645376	Badania operacyjne	L15	6	B5 212	Wt 12:50-14:20 B	Kwiecien Joanna		2	10	0
645377	Badania operacyjne	L15	7	B5 212	Wt 14:40-16:10 A	Kwiecien Joanna		2	12	0
645378	Badania operacyjne	L15	8	B5 212	Wt 14:40-16:10 B	Kwiecien Joanna		2	12	0
645335	Inzynieria oprogramowania	W30		D17 2.41	Pt 9:35-11:05	Rakoczy Witold	x		0	0
645336	Inzynieria oprogramowania	L30	1	D17 4.27	Pn 17:50-19:20	Rakoczy Witold			11	0
645337	Inzynieria oprogramowania	L30	2	D17 4.27	Sr 9:35-11:05	Rakoczy Witold			11	0
645338	Inzynieria oprogramowania	L30	3	D17 4.27	Sr 12:50-14:20	Rakoczy Witold			11	0
645339	Inzynieria oprogramowania	L30	4	D17 4.27	Wt 17:50-19:20	Kisiel-Dorohinicki Marek			-4	0
645340	Inzynieria oprogramowania	L30	5	D17 4.27	Pt 16:15-17:45	Rakoczy Witold			11	0
645341	Inzynieria oprogramowania	L30	6	D17 4.27	Cz 14:40-16:10	Rakoczy Witold			11	0
645342	Inzynieria oprogramowania	L30	7	D17 4.27	Pt 12:50-14:20	Rakoczy Witold			11	0
645343	Inzynieria oprogramowania	L30	8	D17 4.27	Pt 14:40-16:10	Rakoczy Witold			11	0
645344	Inzynieria oprogramowania	L30	9	D17 4.27	Wt 12:50-14:20	Zabinska-Rakoczy Malgorzata			9	0
645345	Inzynieria oprogramowania	L30	10	D17 4.27	Wt 14:40-16:10	Rakoczy Witold			11	0
645346	Inzynieria oprogramowania	L30	11	D17 4.27	Pn 9:35-11:05	Dajda Jacek			3	0
645347	Inzynieria oprogramowania	L30	12	D17 4.27	Pn 12:50-14:20	Dajda Jacek			9	0
645422	Jezyk obcy	C30		SJO	Pn 14:40-16:10	Lektorat Prowadzacy	x		0	0
645423	Jezyk obcy	C30		SJO	Pn 16:15-17:45	Lektorat Prowadzacy	x		0	0
645424	Jezyk obcy	C30		SJO	Cz 8:00-9:30	Lektorat Prowadzacy	x		0	0
645425	Jezyk obcy	C30		SJO	Cz 9:35-11:05	Lektorat Prowadzacy	x		0	0
645379	Programowanie systemowe	W15		D17 2.41	Sr 11:15-12:45	Kozlak Jaroslaw	x		0	0
645380	Programowanie systemowe	L15	1	D17 4.28	Sr 9:35-11:05 A	Faber Lukasz			11	0
645381	Programowanie systemowe	L15	2	D17 4.28	Sr 9:35-11:05 B	Faber Lukasz			9	0
645382	Programowanie systemowe	L15	3	D17 4.28	Sr 16:15-17:45 A	Faber Lukasz			10	0
645383	Programowanie systemowe	L15	4	D17 4.28	Sr 16:15-17:45 B	Faber Lukasz			10	0
645384	Programowanie systemowe	L15	5	D17 4.28	Sr 17:50-19:20	Faber Lukasz			10	0
645348	Systemy rozproszone	W30		D17 2.41	Pn 8:00-9:30	Zielinski Krzysztof	x		0	0
645349	Systemy rozproszone	L30	1	D17 4.22	Pn 9:35-11:05	Laboratorium Prowadzacy			10	0
645350	Systemy rozproszone	L30	2	D17 4.22	Pn 12:50-14:20	Laboratorium Prowadzacy			11	0
645351	Systemy rozproszone	L30	3	D17 4.22	Pn 17:50-19:20	Laboratorium Prowadzacy			11	0
645352	Systemy rozproszone	L30	4	D17 4.22	Pn 19:30-21:00	Laboratorium Prowadzacy			11	0
645353	Systemy rozproszone	L30	5	D17 4.22	Wt 9:35-11:05	Laboratorium Prowadzacy			6	0
645354	Systemy rozproszone	L30	6	D17 4.22	Wt 11:15-12:45	Laboratorium Prowadzacy			11	0
645355	Systemy rozproszone	L30	7	D17 4.22	Wt 12:50-14:20	Laboratorium Prowadzacy			11	0
645356	Systemy rozproszone	L30	8	D17 4.22	Wt 14:40-16:10	Laboratorium Prowadzacy			10	0
645357	Systemy rozproszone	L30	9	D17 4.22	Pt 8:00-9:30	Laboratorium Prowadzacy			11	0
645358	Systemy rozproszone	L30	10	D17 4.22	Pt 11:15-12:45	Laboratorium Prowadzacy			8	0
645359	Systemy rozproszone	L30	11	D17 4.22	Pt 12:50-14:20	Laboratorium Prowadzacy			11	0
645360	Systemy rozproszone	L30	12	D17 4.22	Pt 14:40-16:10	Laboratorium Prowadzacy			11	0
645392	Technologie aplikacji internetowych	W15		D17 1.38	Sr 17:50-19:20	Zmuda Daniel	x		0	0
645393	Technologie aplikacji internetowych	L15	1	D17 4.23	Sr 12:50-14:20	Kwolek Bartosz			11	0
645394	Technologie aplikacji internetowych	L15	2	D17 4.23	Sr 14:40-16:10	Kwolek Bartosz			9	0
645395	Technologie aplikacji internetowych	L15	3	D17 4.23	Cz 11:15-12:45	Kwolek Bartosz			13	0
645396	Technologie aplikacji internetowych	L15	4	D17 4.23	Cz 12:50-14:20	Kwolek Bartosz			11	0
645397	Technologie aplikacji internetowych	L15	5	D17 4.23	Cz 14:40-16:10	Zmuda Daniel			13	0
645398	Technologie aplikacji internetowych	L15	6	D17 4.23	Cz 16:15-17:45	Zmuda Daniel			13	0
645399	Technologie aplikacji internetowych	L15	7	D17 4.23	Pt 8:00-9:30	Zmuda Daniel			13	0
645400	Technologie aplikacji internetowych	L15	8	D17 4.23	Pt 12:50-14:20	Zmuda Daniel			13	0
645385	Technologie internetu rzeczy	W15		D17 1.38	Wt 16:15-17:45	Szydlo Tomasz	x		0	0
645386	Technologie internetu rzeczy	L15	1	D17 4.22	Sr 14:40-16:10	Konieczny Marek		3	11	0
645387	Technologie internetu rzeczy	L15	2	D17 4.22	Sr 16:15-17:45	Konieczny Marek		3	7	0
645388	Technologie internetu rzeczy	L15	3	D17 4.22	Cz 9:35-11:05	Szydlo Tomasz		3	9	0
645389	Technologie internetu rzeczy	L15	4	D17 4.22	Cz 11:15-12:45	Szydlo Tomasz		3	12	0
