subject	class_type	group	location	date	teacher	is_certain	max_people	min_people	team_size	id
Algorytmy dla problemów trudnych obliczeniowo	W15		D17 2.41	Pn 11:15-12:45	Faliszewski Piotr	x				649192
Algorytmy dla problemów trudnych obliczeniowo	L15	1	D17 3.27d	Pn 9:35-11:05 A	Faliszewski Piotr		14			649193
Algorytmy dla problemów trudnych obliczeniowo	L15	2	D17 3.27d	Pn 9:35-11:05 B	Magiera Krzysztof		14			649194
Algorytmy dla problemów trudnych obliczeniowo	L15	3	D17 3.27d	Pn 12:50-14:20 A	Gajęcki Marek		14			649195
Algorytmy dla problemów trudnych obliczeniowo	L15	4	D17 3.27d	Pn 12:50-14:20 B	Gajęcki Marek		14			649196
Algorytmy dla problemów trudnych obliczeniowo	L15	5	D17 3.27d	Wt 9:35-11:05 A	Gajęcki Marek		14			649197
Algorytmy dla problemów trudnych obliczeniowo	L15	6	D17 3.27d	Wt 9:35-11:05 B	Kurdziel Marcin		14			649198
Algorytmy dla problemów trudnych obliczeniowo	L15	7	D17 3.27d	Wt 11:15-12:45 A	Kurdziel Marcin		14			649199
Algorytmy dla problemów trudnych obliczeniowo	L15	8	D17 3.27d	Wt 11:15-12:45 B	Magiera Krzysztof		14			649200
Badania operacyjne	W15		D17 1.38	Wt 8:00-9:30	Kwiecień Joanna	x				649201
Badania operacyjne	L15	1	B5 212	Wt 9:35-11:05 A	Chmiel Wojciech		12			649202
Badania operacyjne	L15	2	B5 212	Wt 9:35-11:05 B	Chmiel Wojciech		12			649203
Badania operacyjne	L15	3	B5 212	Wt 11:15-12:45 A	Kwiecień Joanna		12			649204
Badania operacyjne	L15	4	B5 212	Wt 11:15-12:45 B	Kwiecień Joanna		12			649205
Badania operacyjne	L15	5	B5 212	Wt 12:50-14:20 A	Kwiecień Joanna		12			649206
Badania operacyjne	L15	6	B5 212	Wt 12:50-14:20 B	Kwiecień Joanna		12			649207
